Q15648	Q9NVC6
Q15648	O95402
Q15648	Q9Y2X0
Q15648	O60244
Q15648	P24863
Q15648	O75448
Q15648	Q12772
Q15648	P15976
Q15648	Q93074
Q9UJW3	Q9Y6K1
Q96EP1	P09874
P09874	P27361
P09874	P15923
P09874	P54577
P09874	Q01094
P09874	Q9HAN9
P09874	P42574
P09874	P28482
Q15544	Q15543
Q15544	P20226
Q15544	Q16514
Q15543	P20226
P20226	P05412
P20226	P23193
P20226	Q15572
P20226	Q16514
P20226	P17947
P20226	P01100
P20226	P09086
P20226	P06401
P20226	Q01094
P20226	Q13487
P20226	Q16533
P20226	Q00403
Q16514	P01106
Q16514	Q7Z7C8
Q16514	Q16594
Q16514	O00268
Q96CA5	P62837
P62837	Q13489
P62837	Q15843
P62837	P22681
P62837	Q99942
P62837	Q96EP0
Q9BQS8	P33176
Q9BQS8	Q9H0B6
Q9H1D9	Q9BT43
Q9H1D9	Q9BUI4
Q9H1D9	O15318
Q9H1D9	P05423
Q9BT43	Q9BUI4
Q9BUI4	O15318
O15318	P05423
P50991	Q9NPJ1
Q8N3I7	Q96RK4
Q8N3I7	Q9BXC9
Q8N3I7	Q8NFJ9
P17987	Q9NPJ1
Q9BXC9	Q9NPJ1
Q9NPJ1	P48643
Q9NPJ1	P50990
Q8NFJ9	Q9H0F7
Q92600	Q9HCJ0
Q92600	Q9NZN8
Q9HCJ0	Q9UKV8
Q9HCJ0	Q9NZN8
Q9HCJ0	Q9UIV1
Q9HCJ0	Q504Q3
Q9HCJ0	P11940
Q9HCJ0	Q96LI5
Q9NZN8	Q9ULM6
Q9NZN8	Q9UIV1
Q9NZN8	Q9UFF9
Q969G5	Q03135
Q969G5	O95810
Q969G5	Q6NZI2
Q03135	Q6NZI2
Q03135	P00519
Q03135	O00194
Q03135	Q13586
Q03135	P20936
Q03135	P48995
Q03135	P19174
Q03135	P10275
Q03135	O95810
Q03135	P35354
Q03135	P13861
Q03135	P51636
O95810	Q6NZI2
O75461	Q96JM7
O75461	P41229
Q96JM7	Q14209
Q96JM7	Q01094
Q96JM7	O00716
P41229	Q13185
P41229	Q99496
P41229	Q13127
P41229	Q8IWI9
P41229	Q92769
P41229	Q06587
P41229	Q13547
P41229	Q14186
P41229	O75376
O95999	Q9Y297
O95999	Q9BXL7
O95999	Q9UDY8
Q9Y297	Q13127
Q9Y297	O14965
Q9Y297	Q76N32
Q9Y297	O00444
Q9Y297	P53350
Q9BXL7	Q92918
Q09472	P03372
Q09472	P35637
Q09472	P56279
Q09472	Q06945
Q09472	Q13351
Q09472	Q01844
Q09472	Q16665
Q09472	Q92804
Q09472	Q9UL17
Q09472	Q8WXX7
P03372	P12931
P03372	Q6PL18
P03372	P10589
P03372	Q9Y6X2
P03372	Q96AQ6
P03372	Q15596
P03372	O15164
P03372	O75925
P03372	Q13105
P35637	Q92973
P56279	P05412
P56279	P01100
P56279	P17275
Q06945	Q92793
Q13351	Q92793
Q16665	Q9C0J9
Q16665	Q9GZT9
Q16665	P17861
Q16665	P11474
Q16665	P09467
Q16665	P40337
Q16665	P27540
Q16665	O43524
Q16665	P25789
Q9UL17	Q92793
Q9UL17	P23771
Q8WXX7	O15014
Q8WXX7	Q99496
Q8WXX7	Q9P2R6
Q8WXX7	P68400
Q8WXX7	P54259
Q8WXX7	P19784
Q8WXX7	Q8IY57
Q8WXX7	Q06587
Q8WXX7	Q9BYE7
Q8WXX7	P61964
Q8WXX7	Q3KNV8
Q8WXX7	Q8N488
Q8WXX7	Q86SE9
P60866	P36578
P60866	P62753
P60866	Q9H0U6
P36578	Q13233
P36578	Q99558
P36578	P62753
P36578	P46777
P36578	Q9H0U6
P62753	P06730
P62753	Q9H0U6
Q9H0U6	P23396
Q9H0U6	P46777
P16403	Q8IYW5
Q8IYW5	P07305
Q8IYW5	Q92522
O95503	Q9HCE1
O95503	P84243
O95503	Q99496
O95503	Q71DI3
Q9HCE1	Q99496
Q9HCE1	P35226
Q9HCE1	P35227
Q9HCE1	Q9HC52
Q9HCE1	Q06587
Q9HCE1	Q9NZI8
P84243	Q9NVP2
P84243	O00257
P84243	Q14781
P84243	Q9HC52
P84243	P62805
P84243	Q13111
P84243	Q9Y294
Q99496	Q9HC52
Q99496	O00257
Q99496	Q9GZV8
Q99496	Q99801
Q99496	P35226
Q99496	Q13127
Q99496	P0C0S8
Q99496	Q14781
Q99496	Q8N488
Q99496	Q8IY57
Q99496	P62807
Q99496	Q86SE9
Q71DI3	O00257
Q71DI3	Q14781
Q71DI3	Q9HC52
Q71DI3	Q13111
Q71DI3	P62805
Q71DI3	Q9Y294
Q71DI3	P49736
P29375	P06400
P06400	P32519
P06400	P17947
P06400	Q14209
P06400	Q16254
P06400	Q13547
P06400	Q01094
P06400	Q9BV86
P06400	P29374
P06400	Q9Y676
P06400	Q9UKV8
P06400	P43686
P06400	Q99708
P06400	P15976
P06400	P17542
P06400	P17480
P06400	O00716
P06400	Q14186
P06400	Q00534
P06400	Q13029
P05109	P06702
Q12834	P30260
Q12834	Q13257
Q12834	Q9UJX5
P30260	Q9UKT4
P30260	Q9UJX6
P30260	P24385
P30260	Q13257
P30260	Q96FF9
P30260	Q9UJX5
P30260	O95997
Q13257	Q9Y6D9
Q13257	O43684
Q13257	Q9UJX5
Q9UJX5	Q9UKT4
Q9UJX5	Q9UJX6
Q9UJX5	Q9UJX3
Q9UJX5	Q9UJX2
Q9UJX5	Q9NYG5
Q9UJX5	Q9UJX4
O95863	P28482
P28482	P05412
P28482	Q08752
P28482	P53004
P60228	O00303
P60228	P55884
P60228	O15371
P60228	O15372
P60228	Q14152
P60228	O75822
P60228	Q7L2H7
P60228	Q9UBQ5
P60228	Q99613
O00303	Q14152
O00303	O75822
O00303	O15372
O00303	O15371
O00303	P55884
O00303	Q7L2H7
O00303	Q9UBQ5
O00303	Q99613
P55884	O15372
P55884	O75821
P55884	Q9UBQ5
P55884	Q7L2H7
O15371	Q14152
O15371	O15372
O15371	Q7L2H7
O15371	Q9UBQ5
O15371	Q99613
O15372	Q14152
O15372	O75822
O15372	Q7L2H7
O15372	Q9UBQ5
O15372	Q99613
Q14152	P47813
Q14152	P41567
Q14152	O75822
Q14152	Q7L2H7
Q14152	Q9UBQ5
Q14152	Q99613
O75822	Q9UBQ5
O75822	Q99613
O75822	Q7L2H7
Q7L2H7	Q9UBQ5
Q7L2H7	Q99613
Q9UBQ5	Q99613
Q99613	P47813
Q99613	P41567
O95602	O60934
O60934	P42338
O60934	P49959
O60934	Q13315
O60934	Q15554
O60934	Q99708
O60934	Q13428
P05412	P01100
P05412	P18848
P05412	P18847
P05412	P49841
P05412	Q8N1L9
P05412	P10275
P05412	Q13330
P01100	P18848
P18848	P18847
P18848	P35638
P49841	O15169
P49841	Q08752
P49841	P01106
P49841	P31749
P49841	Q5VWQ8
P49841	Q86YF9
P10275	O60885
P10275	P55317
P10275	P49116
P10275	Q02790
P10275	P08238
P10275	O43294
P10275	P24385
P10275	P50613
P10275	P35269
P10275	O14686
P10275	Q13772
P10275	P07900
P10275	P11308
P10275	P63279
P10275	Q15596
P10275	Q9UBL3
P10275	O15550
P10275	Q9Y265
P10275	P21333
P10275	Q07912
P10275	Q15059
P10275	P82094
Q13330	Q17R98
Q13330	Q8N726
P41182	Q15916
P41182	Q9Y618
P41182	O75376
Q9UK97	Q6R327
Q9UK97	P42345
Q9UK97	Q9Y4R8
Q13309	Q9UMW8
Q13309	P62877
Q76N32	P53350
Q76N32	O95613
Q5XUX0	P24385
Q5XUX0	Q13315
Q13485	P24468
P24468	P23769
P23193	O94992
P23193	P50750
P23193	P26368
P23193	P24928
P23193	Q4G0J3
O94992	P50750
O94992	Q9NR30
O94992	Q4G0J3
P50750	O60885
P50750	O00267
P50750	Q8N7H5
P50750	Q6P1J9
P50750	Q9NR30
P50750	P24928
P50750	Q4G0J3
P26368	Q01081
P26368	Q07955
P26368	Q96I25
P24928	O00267
P24928	Q9H0D6
P24928	P50613
P24928	Q6P1J9
P24928	O75909
P24928	Q9NQG5
P24928	Q9H7E2
P24928	Q9UPY3
P24928	Q16637
P24928	O94762
P24928	Q9NYV4
P24928	Q8IXW5
P24928	Q96P16
Q4G0J3	O60885
Q4G0J3	Q9NR30
Q14192	P26006
Q14192	P17301
Q14192	Q06547
Q14192	P51610
Q14192	Q06546
P51610	Q9C005
P51610	Q9UMN6
P51610	Q13643
Q13501	O95166
Q13501	P50542
Q13501	P42858
Q13501	P60520
Q13501	Q9Y4K3
O95166	O75143
P50542	Q13315
P50542	P21549
P42858	Q14204
P42858	P62491
P42858	Q9NPB6
Q9Y4K3	P51665
Q9Y4K3	P17980
Q9Y4K3	P35998
Q9Y4K3	Q9UNM6
Q9Y4K3	P61088
Q9Y4K3	O43242
Q9Y4K3	Q15008
Q9Y4K3	P61964
Q9Y4K3	Q9C0C7
Q9Y4K3	Q9NYJ8
Q9Y4K3	Q9NPH3
Q14527	P12004
Q14527	P61088
Q14527	Q9NS91
Q14527	P63146
Q14527	Q15819
P12004	P24941
P12004	P24522
P12004	P35249
P12004	Q15054
P12004	O94762
P12004	P39748
P12004	P20248
P12004	P38936
P61088	Q96FW1
Q9NS91	P63146
P63146	Q8IWV7
P46013	Q9NS87
P46013	P83916
P46013	Q9BYG3
Q13155	Q15046
P04275	Q76LX8
P04275	P00451
Q76LX8	P00451
P78423	P49238
Q13617	Q96GG9
Q13617	P40337
Q13617	O94888
P84077	Q99418
O60885	Q6P1J9
O60885	Q6NYC1
O60885	P62805
O60885	Q14839
Q8N7H5	Q6P1J9
Q8N7H5	Q9NYV4
Q8N7H5	O75909
Q6P1J9	Q15291
Q6P1J9	Q9UKF6
Q6P1J9	Q12996
Q6P1J9	P42568
Q6P1J9	Q6PD62
Q6P1J9	Q8WVC0
Q6P1J9	Q9UBL3
Q6P1J9	Q9NYV4
Q6P1J9	Q10570
Q6P1J9	O75909
Q6P1J9	P33240
Q6P1J9	Q8NEZ4
Q6P1J9	Q9P2I0
Q6P1J9	O95639
Q6PD62	O75909
Q6NYC1	Q16630
Q6NYC1	P22626
Q6NYC1	Q9Y383
P62805	Q92793
P62805	Q16576
P62805	O15164
P62805	O14929
P62805	Q12888
P62805	P49736
P62805	Q16695
P62805	Q9Y294
Q14839	Q17R98
Q14839	P17542
P01138	P08138
P01138	Q99523
Q99523	P30533
O75962	P63000
P63000	Q7L576
P63000	Q8WUW1
P63000	Q00722
P63000	Q9Y6W5
P63000	Q9NYB9
P63000	Q92558
P63000	Q9Y2A7
P06730	O43432
P06730	Q13541
P06730	Q09161
P06730	Q13542
P06730	Q9BWF3
P06730	P11940
P06730	Q92900
Q13541	Q9UKV8
Q09161	Q86U42
Q09161	Q92900
Q09161	P52298
